Company,Stipend,Branches,Duration,CGPA ,Total Offers
JP Morgan Chase,75000,"CC, CS, AIML, IT, DS, CSFT",2,8.5,
Triology Innovations,75000,All,2,6,
Goldmam Sachs,162000,All,2,6,
Microsoft,125000,"CC, CS, IT, DS, AIML, CSFT, MC, EE,  EC, EI, CPS, VLSI",2,7,
BNY,75000,"CC, CS, IT, DS, AIML, CSFT, MC, EC, EE, EI, CPS, VLSI, ME",2,7,
AQR Capital,150000,"CC, CS, IT, DS, AIML, CSFT, MC",2,7,
DE Shaw,180000,"CC, CS, IT, DS, AIML, CSFT, MC, EC, EE, EI, CPS, VLSI",2,8,1
Western Digital,35000,"CC, CS, IT, DS, AIML, CSFT, MC, EE, EC, EI, CPS, VLSI",2,7.5,
Wells Fargo,90000,"CC, CS, IT, DS, AIML, CSFT, MC, EE, EC, EI, CPS, VLSI",2,7.5,
ITC Limited,50000,"CH, EI, ME",2,7,
Adobe,110000,"CC, CS, IT, DS, AIML, MC, CSFT",2,6,
GE Healthcare,40000,"CC, CS, IT, DS, AIML, CSFT, MC, EC, EE, EI, CPS, VLSI",2,7.5,
Cisco,88000,All,2,6,
Goldmam Sachs,73000,CV,2,6.5,
Fractal Analytics,30000,"CC, CS, IT, DS, AIML, CSFT, MC, EE, EC, EI, CPS, VLSI",2,7,
Optum,40000,"CC, CS, IT, DS, AIML, MC, CSFT",2,7,
PayPal,100000,"CS, IT, CSFT, AIML",2,8.5,
Microsoft,40000,"CC, CS, IT, DS, AIML, CSFT, MC",2,7,
Kenvue,75000,"CS, IT, CSFT, AIML, DS, MC, EE, EC, EI, CPS, VLSI, CH, ME, IE, CC",2,6.5,
Textron,25000,"CC, CS, IT, DS, AIML, CSFT, MC, EE, EC, EI, CPS, VLSI, ME, IE",2,7,
VISA,90000,"CC, CS, IT, DS, AIML, CSFT, MC, EE, EC, VLSI",2,7,
Oracle FSS,60000,"CC, CS, IT, DS, AIML, CSFT, MC, EC, EE, EI, CPS, VLSI",2,7.5,
Boeing,40000,"CC, CS, IT, AIML, DS, CSFT, MC, EC, EE, EI, CPS, VLSI, AE, ME, IE, MT",2,7,
Accenture,16000,All,2,5,
Analog Device,40000,"EC, EE, VLSI",12,7.5,
Marvell,40000,"CC, CS, IT, DS, AIML, CSFT, MC, EC, EE, EI, VLSI, CPS",12,7,
Godrej Properties Limited,15000,CV,2,6,
Hindustan Coca-Cola Beverages,35000,"EE, EI, MT",2,6.5,
Bureau of Indian Standards,20000,"CH, EE, ME, IE",2,7.5,
Saviynt,70000,"CC, CS, IT, DS, AIML, CSFT, MC, EC",12,7,
Ensemble Health Partners,25000,"CS, DS, AIML, IT, CC",2,7,
Microsoft,125000,"CC, CS, IT, DS, AIML, MC, CSFT",2,7,
BNY,75000,"CC, CS, IT, DS, AIML, CSFT, MC, EC, EE, EI, CPS, VLSI,ME, MT",2,7,
Reliance Industries Ltd.,30000,"CH, ME, EE, EI",2,6,
Microsoft,125000,"CC, CS, IT, DS, AIML, CSFT, MC, EE, EC, EI, CPS, VLSI",2,7,
Philips,45000,"CC, CS, IT, AIML, DS, CSFT, MC, EC, EE, EI, CPS, VLSI, ME, IE, MT",12,7,
Fidelity,35280,"CC, CS, IT, DS, AIML, CSFT, MC, EC, VLSI",2,7,
Intel,45000,"CS, IT, CC, AIML, CSFT, DS, MC,EC, EE, EI, VLSI, CPS",12,7,
Intel(Global IT),40000,"CS, IT, CC, DS, AIML, CSFT, MC",12,7,
Orangewood Labs,20000,MT,6,6,
Amazon(SDE),110000,"CS, IT, DS, CC, AIML, CSFT, MC, EC, EE, EI, CPS, VLSI",6,6.5,
Amazon,110000,"CS, IT, DS, CC, AIML, CSFT, MC, EC, EE, EI, CPS, VLSI",6,6.5,
Infineon,43000,"DS, AIML, EC, EE, EI, CPS, VLSI",11,7,
ARM,45000,"CS, CC, AIML, EC, EE, VLSI",11,7,
Healthium,30000,BM,2,6,
Webfinex Techfusion Pvt. Ltd.,25000,"CC, CS, IT, AIML, DS, CSFT, MC",2,6,
Intel(Hardware),45000,"EC, EE, EI, CPS, VLSI",12,7,
AT&T,54000,AIML,12,8.5,
STMicroelectronics,40000,"CC, CS, IT, AIML, DS, MC, CSFT, EC, VLSI, EE, EI, CPS",12,6.5,
Siemens,25000,"CS, IT, DS, CC, AIML",6,7,
Indus Insights,100000,All,6,7.5,
AMD,40000,"CC, CS, IT, AIML, DS, MC, CSFT, EC, VLSI, EE, EI, CPS",12,7.5,
NetApp,50000,"CC, CS, IT, AIML, DS, CSFT, MC",12,6.5,
Archer IRM,30000,CS,12,7,
Maruti Suzuki,35000,"ME, MT",2,6.5,
HarnessIO R&D Labs India Pvt Ltd,70000,"CS, IT, CC, AIML, DS, MC, CSFT, EE, EI, EC, VLSI, CPS",12,7.5,
Akamai,44500,"CC, CS, IT, DS, AIML, CSFT, MC",2,8,
Healthium,20000,IE,2,6,
Emerson,45000,"CS, IT, CC, AIML, DS, MC, CSFT, EE, EI, EC, VLSI, CPS",12,7,
Atomgrid,30000,"CH, BT",6,6,
TCS Research,20000,"CS, IT, CC, AIML, DS, MC, CSFT, EE, EI, EC, VLSI, CPS",2,8,
Tata Motors,0,"CS, AIML",2,6,
Uber,75095,"EC, EE, EI, VLSI",6,7.5,
GenWise,20000,All,2,0,
Siemens,25000,"CS, IT, DS, CC, AIML",6,7,
Siemens Healthineers,25000,"CC, CS, IT, AIML, DS, CSFT, MC, EC, MT, ME, CPS, EE, EI, VLSI",12,6.5,
POSHA,50000,"EC, VLSI, EE, EI, CPS, MT, ME, IE",6,7,
Posha,50000,"CC, CS, IT, DS, AIML, CSFT, MC",2,7,
Siemens Technology & Services Pvt. Ltd.,75000,"CS, AIML, DS, MC",6,7,
Boeing,32000,"CV, CC, CS, IT, DS, MC, AIML, CSFT, IE, ME, AE, EE, EI",12,6,
Thomson Reuters,70000,"CS, DS, AIML",12,7,
Autodesk,55000,"CS, IT, DS, AIML, CC, MC, CSFT, CV, ME, AE, MT",6,6,
myHQ,30000,All,6,7,
MSCI,60000,"CC, CS, IT, DS, AIML, CSFT, MC",6,6,
Myntra,70000,"CS, IT, AIML",6,6,
Leap,40000,All,12,6,
Myntra,30000,All,6,6,
Alstom,30000,"CC, CS, IT, DS, MC, CSFT, AIML",12,7,
Novartis,30000,All,12,6,
Lenovo,33000,"CS, IT, DS, CC, AIML, CSFT, MC",6,8,
Resmed,45000,"BM, BT",11,6,
TMRW,35000,"CS, IT, DS, CC, AIML, CSFT, MC",12,7,
Nokia,30000,"CC, CS, IT, AIML, DS, CSFT, MC, EE, EC, VLSI, EI, CPS",11,6.5,
Plivo,40000,"CC, CS, IT, AIML, DS, CSFT, MC, EE, EI, VLSI, EC, CPS",12,6,
First Citizens India,50000,"CS, DS, IT, AIML, CC",6,6,
Dentsu,23000,"CS, DS, IT, AIML, CC, CSFT, MC",2,7,
Porter,40000,All,6,6,
TrueEstate ,40000,"CC, CS, IT, AIML, DS, CSFT, MC, EC, VLSI",12,7.5,
TrueEstate ,30000,All,12,6,
